flight,dep_time,dep_delay
641,1124,24
1171,1124,-1
1085,1125,-5
4294,1127,-2
703,1127,-3
1143,1127,-2
987,1128,-1
327,1130,5
2219,1130,-1
4553,1132,-3
133,1133,4
409,1133,3
1623,1135,-5
2175,1137,-3
1010,1143,-2
4876,1144,-1
353,1147,-8
4693,1150,-6
4275,1153,-6
1,1153,30
863,1153,-7
1174,1154,-6
4658,1154,-6
3,1155,-5
1443,1155,-5
1947,1155,-5
4425,1155,-5
4511,1157,-1
4431,1157,-8
1197,1157,-3
743,1158,-7
1568,1158,-2
701,1158,-2
1443,1200,0
4347,1202,-5
1663,1202,3
3850,1203,-2
25,1203,3
523,1204,4
1461,1205,5
4216,1206,-3
625,1208,10
4135,1211,-4
3697,1217,-3
391,1217,-1
1757,1219,-1
1715,1219,-6
133,1220,0
4679,1222,23
27,1222,-7
1114,1228,4
5311,1230,-5
1131,1231,-7
428,1231,2
1850,1237,-8
564,1238,-2
4118,1240,11
2253,1240,-5
4404,1240,5
4129,1241,-6
2174,1245,0
315,1245,-4
66,1246,21
1280,1248,-2
85,1251,-1
745,1252,7
754,1253,41
781,1255,-5
1251,1255,0
4601,1255,55
1459,1255,-4
2128,1255,-5
209,1257,-1
4426,1257,-3
348,1258,-10
329,1258,-2
1853,1301,21
4646,1301,71
765,1301,6
1006,1302,3
1435,1302,2
4640,1304,37
32,1304,5
4564,1305,-10
2041,1306,26
2596,1306,6
991,1310,10
1615,1314,-1
4112,1315,-2
4340,1316,2
4475,1317,-8
4106,1318,-4
393,1320,5
1425,1320,0
1185,1323,23
2043,1325,-5
411,1327,-3
906,1327,-2
3849,1330,9
615,1333,-2
4665,1336,-4
673,1337,77
1073,1339,-6
431,1339,4
117,1341,-4
3832,1342,22
753,1343,13
15,1344,0
2335,1346,16
4254,1350,21
602,1350,-5
4434,1351,-4
4171,1353,-4
4370,1354,-2
2068,1354,-5
4552,1355,40
1783,1355,-1
2162,1355,5
4577,1356,6
32,1356,57
617,1356,2
1258,1356,6
688,1358,8
4869,1400,70
2247,1400,0
4516,1402,39
349,1408,-3
505,1411,56
683,1416,5
16,1418,-1
3728,1419,-1
1010,1421,-1
83,1421,26
1531,1421,-9
4491,1422,12
257,1422,-3
5710,1423,-7
4687,1424,35
4935,1424,4
355,1428,59
278,1430,31
997,1430,0
1161,1431,2
601,1431,-9
1819,1433,-2
1322,1436,1
1972,1439,-6
1231,1440,0
1813,1442,-8
4292,1443,-1
337,1445,-10
4669,1445,0
1769,1446,-9
1445,1448,3
4403,1449,-1
4105,1451,-9
3295,1452,-3
61,1452,-5
4172,1453,3
2179,1453,-7
4390,1454,-4
3843,1454,-6
1467,1454,-6
119,1455,-2
1053,1455,-4
1997,1455,-5
685,1456,-4
1134,1456,1
379,1457,-3
720,1457,-3
4429,1458,-2
5675,1459,-2
1105,1459,5
377,1500,1
456,1502,2
4497,1505,115
4447,1505,-5
759,1506,1
407,1506,-6
3792,1507,-8
4309,1507,-3
1687,1508,18
537,1510,-7
2347,1511,11
1456,1511,-4
153,1512,-6
4223,1513,8
4333,1513,-2
347,1515,38
1699,1518,2
883,1520,50
3823,1520,-5
1593,1520,0
507,1521,6
4146,1522,-8
530,1522,-8
1600,1523,7
141,1524,27
525,1525,105
4525,1525,-5
4105,1526,-4
1039,1527,-3
8,1527,32
137,1527,-6
1695,1527,12
3806,1528,29
2223,1528,-2
459,1529,32
1665,1529,-1
3369,1530,0
4372,1531,38
4572,1531,32
365,1531,11
4093,1534,4
2081,1536,16
4,1538,-2
85,1539,9
133,1539,-6
1222,1539,2
705,1540,122
1283,1542,-3
1773,1543,-7
636,1543,0
3338,1546,6
1942,1547,2
4588,1548,88
4181,1549,64
80,1549,1
3372,1550,0
5709,1552,-8
620,1552,-8
3459,1552,-8
565,1552,-8
3331,1554,-6
847,1554,-5
3985,1554,-6
5163,1556,-4
1508,1557,-3
687,1557,-3
4502,1558,24
5712,1558,119
509,1558,-2
91,1559,-6
4088,1600,-10
702,1601,0
1861,1602,-3
3272,1603,16
917,1603,13
591,1603,3
4415,1603,-2
367,1603,3
4579,1604,54
341,1605,-5
12,1607,12
465,1607,84
763,1608,33
1467,1608,8
157,1608,-1
1411,1610,-5
1619,1610,-5
1939,1610,15
1635,1611,10
4406,1615,13
4661,1619,-6
1178,1620,0
95,1621,33
35,1623,3
1635,1625,35
675,1626,-4
702,1626,-4
63,1627,88
27,1627,-3
4133,1628,64
920,1628,-2
4352,1630,42
143,1630,-6
4299,1631,14
656,1631,-4
1726,1631,1
190,1632,-3
3695,1632,-3
69,1634,8
162,1635,5
1176,1636,-3
3321,1637,52
4580,1639,82
4540,1640,0
1790,1641,-9
1587,1642,32
4336,1645,6
4705,1649,10
985,1650,35
185,1651,1
773,1652,12
1807,1653,-7
4539,1654,10
706,1654,-6
3260,1655,34
575,1655,-5
31,1655,-5
413,1655,0
257,1656,-4
2773,1657,7
1609,1657,27
4323,1658,-2
695,1701,-9
689,1701,1
1259,1702,2
1905,1705,0
1447,1705,-5
2121,1707,2
342,1707,7
1066,1708,8
4194,1711,21
1085,1711,36
369,1711,71
509,1712,-7
635,1712,12
15,1713,13
1351,1714,-6
511,1716,-14
703,1716,91
1623,1716,7
345,1717,-3
699,1718,8
4479,1719,-1
513,1720,-5
449,1725,-5
1712,1725,5
543,1726,-4
512,1726,-3
145,1727,2
3843,1728,88
1284,1729,11
623,1730,0
179,1730,0
1715,1730,1
4092,1732,62
139,1736,56
547,1738,-7
2331,1739,-6
1339,1739,-1
2139,1740,70
4413,1740,-5
1585,1742,-4
3651,1743,88
527,1744,-6
163,1744,24
1935,1744,-1
128,1744,-1
1307,1745,-4
535,1750,0
9,1751,6
3384,1751,6
391,1753,8
376,1756,31
4373,1757,54
1047,1757,-2
1016,1758,-2
989,1758,-2
1676,1758,9
4581,1759,0
1111,1800,0
1053,1800,0
1006,1802,-3
1165,1802,1
4382,1803,37
4622,1803,103
373,1803,3
1152,1805,8
4484,1806,-4
1228,1807,29
7,1808,-7
217,1809,-1
618,1811,12
4202,1814,74
173,1814,-1
4417,1815,290
731,1815,10
4626,1816,11
638,1816,16
353,1817,-3
119,1820,0
924,1823,-7
269,1824,-6
3286,1825,-4
1973,1825,-4
1611,1826,16
1643,1826,-4
1139,1827,-2
4334,1828,23
1684,1830,1
4326,1832,9
3830,1832,-3
1075,1832,4
3730,1834,-6
668,1834,34
4179,1836,70
130,1840,4
4517,1840,-5
389,1840,-5
4633,1842,260
1292,1842,13
2019,1843,-7
904,1843,-2
329,1843,8
785,1846,61
1613,1846,-9
177,1848,63
645,1849,-11
5714,1850,-10
3364,1850,0
29,1850,0
2187,1853,-7
4674,1854,24
947,1855,-4
1128,1855,7
181,1856,131
155,1856,-3
951,1856,1
2944,1858,-2
4131,1859,-1
1967,1859,-1
91,1900,15
2159,1904,-1
1444,1904,-1
853,1905,5
2391,1906,-9
87,1909,-3
1629,1909,-1
3807,1910,1
3359,1910,0
1491,1910,15
4569,1911,1
1485,1912,-3
927,1912,4
6,1915,-5
1606,1915,11
359,1916,-4
3267,1919,19
541,1921,1
4125,1923,46
171,1923,24
5742,1925,-5
87,1925,25
2075,1926,16
4261,1928,-2
1071,1929,9
503,1930,105
4255,1934,129
4085,1935,5
21,1937,32
4300,1938,155
3325,1939,59
1787,1939,-1
698,1940,35
381,1941,1
4410,1942,157
3361,1945,5
4532,1946,16
711,1949,50
4333,1952,22
415,1952,-8
1416,1952,22
3409,1955,-5
4091,1957,-8
645,1957,12
299,1957,-3
1181,1959,29
1233,1959,-1
4361,2000,30
3664,2000,0
1709,2002,7
1680,2003,3
4644,2006,216
1271,2006,6
4649,2008,73
4555,2008,-7
4440,2009,121
1204,2012,-4
1762,2013,-2
3320,2015,10
4204,2016,46
3783,2016,36
3899,2017,42
47,2017,2
1299,2018,-2
354,2020,-10
1069,2021,-4
3352,2023,38
359,2024,109
1318,2025,-5
1615,2025,-3
4224,2026,22
39,2026,56
195,2026,31
4660,2030,0
371,2030,-15
629,2030,-5
115,2030,0
834,2031,1
994,2033,-1
1482,2035,5
4356,2037,27
619,2040,0
3357,2046,11
926,2046,-4
4423,2050,51
165,2052,23
147,2052,7
4573,2053,-2
380,2055,-5
4170,2056,52
4692,2056,72
399,2056,-4
4507,2056,-4
3744,2057,-3
4088,2058,-2
946,2058,-2
1241,2058,-2
4584,2100,0
1020,2101,11
1180,2102,-6
1668,2103,-7
677,2107,27
1517,2108,11
529,2109,-6
4662,2110,50
4119,2115,5
3347,2115,255
4404,2116,6
4543,2119,109
383,2120,-10
227,2121,41
4660,2122,-3
185,2128,-7
4449,2128,3
97,2129,9
1106,2134,49
515,2136,-9
701,2140,5
43,2157,2
4103,2158,-2
1999,2205,285
35,2209,24
1109,2209,14
104,2211,26
713,2217,-12
21,2217,47
4462,2221,141
4206,2224,24
11,2229,30
608,2240,-5
1018,2250,-5
4276,2302,62
30,2306,21
128,2307,22
112,2310,15
4312,2312,192
4257,2323,83
199,2326,116
22,2327,37
4321,2343,379
739,2353,-6
707,2353,-6
727,2356,-3
4308,NA,NA
791,NA,NA
1925,NA,NA
125,NA,NA
707,42,43
22,126,156
1030,458,-2
1453,512,-3
1141,535,-5
407,536,7
725,539,-6
125,554,-6
49,554,-6
371,554,-6
707,555,-5
71,555,-5
731,555,-5
5708,556,-4
461,556,-4
544,557,-8
345,558,-2
303,558,-2
402,559,-2
1077,559,-1
4334,600,0
5147,600,-5
4171,600,0
79,600,0
3136,600,0
4401,600,-5
1280,600,0
1833,602,2
301,603,3
1676,603,4
421,605,5
1743,606,-4
1919,606,-4
1895,607,-3
507,609,9
5310,610,10
575,610,-5
1563,611,11
343,612,12
709,612,-3
1141,616,16
1567,617,2
1837,621,11
4599,622,-8
4650,624,24
4576,625,-5
473,625,-4
516,625,-5
1019,626,-4
2137,628,-2
3641,628,13
4144,629,14
4460,629,9
245,629,-1
135,630,20
1879,630,-5
4648,630,0
4150,632,-3
387,632,2
303,634,4
1276,636,-1
908,636,5
3829,637,-3
27,637,7
1162,637,6
1002,640,0
1627,640,-6
3831,641,6
711,641,6
102,641,-6
389,641,-4
1433,642,12
320,647,2
785,647,1
926,647,2
1415,649,-6
392,649,-2
1865,654,-6
1701,654,3
1815,655,-4
203,655,0
763,655,-5
1383,655,-5
2003,655,-5
981,656,-4
4534,656,-9
2163,657,-3
399,659,-1
4471,700,30
305,700,0
2279,700,0
1445,701,-4
756,702,2
117,704,9
831,704,-1
1152,704,4
413,705,35
3737,705,-5
443,707,-8
671,709,9
1547,712,12
1223,712,12
825,714,-1
987,715,-6
223,715,0
1526,719,-1
3768,720,80
11,722,-3
393,723,10
11,724,-6
277,727,42
311,728,-2
850,729,9
1601,729,0
495,729,-1
715,730,15
33,732,2
44,732,-4
1509,732,0
20,733,-2
643,733,-4
20,734,34
1199,734,2
983,737,-8
309,738,-7
59,739,-6
1296,739,4
1581,740,0
4348,741,-2
328,741,1
3373,743,-2
807,744,14
715,745,15
1668,745,-1
341,747,-2
1724,750,25
3643,751,-9
4166,752,-8
4233,752,-8
251,752,7
4241,754,79
2263,754,-1
517,755,-5
3,755,-5
2047,755,-4
1843,757,-3
1733,757,-2
2267,758,3
1172,759,-6
1959,800,-10
2083,801,31
4406,801,-9
423,804,-1
655,806,-4
1271,807,-3
269,808,-2
675,808,-7
1051,809,-1
2119,810,10
914,811,-4
1167,811,-4
4655,811,-9
2395,815,0
4490,815,0
4418,815,-10
4235,817,107
3521,817,-3
1838,817,7
219,818,13
181,818,-2
1429,819,19
611,820,-7
717,820,0
1218,822,-1
1067,822,-1
346,825,15
313,825,-5
1335,825,-5
1855,826,-4
452,826,-3
4160,827,36
835,827,-8
301,827,7
4610,827,-8
3845,828,-2
3383,828,-7
905,828,-2
4138,829,-2
717,829,-6
572,829,-1
651,833,155
4691,834,11
2392,834,34
4420,836,45
4220,836,-4
1357,837,-8
4521,837,-3
397,839,39
4610,841,-3
3754,841,-4
4558,841,-9
3323,843,-2
59,844,-1
1643,844,1
4255,845,3
3538,845,35
553,845,0
1506,846,2
4537,850,46
1670,854,3
1,855,-5
4974,855,20
869,856,-3
120,857,-3
4478,857,-3
647,858,-2
485,858,-2
1747,858,-1
2143,858,-2
974,858,35
4409,859,14
222,859,2
448,859,-1
667,859,-1
1885,900,0
1741,900,1
235,901,-2
407,903,3
56,904,-6
4140,905,43
17,907,3
51,909,9
1429,910,12
181,912,7
1305,913,8
493,913,5
4582,914,-6
1519,915,29
1004,916,-3
4690,919,49
721,919,-1
1589,919,-1
4104,923,179
215,923,-6
1103,925,5
375,925,-5
251,926,-4
4388,928,75
1061,928,23
1148,928,28
487,928,63
1903,929,-6
1597,929,1
1018,929,0
1484,932,7
1109,933,9
279,933,4
4,934,-3
1807,938,-2
4600,940,56
57,940,18
361,941,1
4159,944,104
4636,944,15
319,945,0
4654,950,-5
4548,951,51
600,952,-1
4108,953,-2
5736,954,-7
1222,954,9
1765,955,-5
4681,958,-2
1623,958,-2
2379,959,-3
503,1000,0
75,1000,0
4495,1001,17
3694,1003,103
679,1004,19
1625,1004,1
1177,1009,9
1441,1010,-5
3795,1014,4
1103,1014,-1
1529,1015,0
347,1020,-3
196,1020,21
1847,1021,21
731,1023,3
4195,1024,-6
1026,1024,-1
2319,1025,10
4471,1025,-5
1563,1027,1
2343,1028,-2
23,1028,-2
4709,1031,-2
1702,1031,16
4175,1033,64
31,1036,-4
1294,1037,-2
4246,1038,3
19,1038,8
4589,1042,-8
545,1043,0
1573,1043,-2
375,1043,13
373,1044,-6
4670,1045,46
1275,1046,-4
460,1048,1
1060,1050,14
739,1051,-4
1785,1052,-3
2124,1053,-7
41,1055,100
1647,1056,-3
3792,1056,-4
1605,1056,-4
2171,1056,-4
1143,1056,-3
641,1057,-3
491,1057,12
642,1100,0
3094,1101,1
2099,1102,-13
24,1109,-6
1031,1109,-6
4485,1109,-6
321,1110,40
2071,1111,12
5218,1115,-5
695,1122,-8
1477,1123,13
327,1124,-1
1085,1124,-6
5026,1125,65
3658,1125,120
703,1125,-5
1171,1126,-9
316,1126,1
133,1127,-2
569,1130,-5
1663,1130,1
409,1131,1
1,1134,11
2175,1137,-3
1623,1139,-1
401,1141,-4
1010,1143,-2
2219,1144,13
4646,1145,-5
353,1147,-8
2185,1152,2
4425,1153,-7
743,1156,-9
523,1156,-4
625,1156,-2
863,1156,-4
4658,1156,-4
1248,1156,-4
1174,1158,-2
1705,1158,-2
4247,1159,30
1443,1159,-1
1443,1159,-1
3018,1200,15
1461,1200,0
25,1201,1
4553,1202,27
3,1204,4
4479,1205,36
4431,1205,0
4216,1206,-3
1037,1206,10
3850,1208,3
1492,1209,-3
1757,1213,-7
673,1216,-4
3697,1217,-3
27,1220,-9
391,1220,2
4347,1222,15
4322,1228,103
4640,1228,-1
4294,1229,25
5311,1230,-5
4404,1230,-5
66,1234,9
1114,1235,5
1131,1236,-2
3223,1236,-4
4601,1236,36
4147,1239,39
1672,1239,19
2253,1240,-5
1853,1240,0
2174,1240,-5
4118,1243,14
4412,1244,224
315,1245,-4
745,1249,4
209,1249,-9
1850,1250,5
633,1251,1
3903,1253,-7
781,1254,-6
1459,1255,-4
85,1256,4
1869,1256,-4
408,1256,31
4129,1257,-6
673,1257,-3
1434,1257,0
1251,1258,3
4426,1258,-2
1186,1258,-2
1200,1258,-1
991,1300,0
1006,1301,2
329,1305,5
348,1306,-2
1615,1307,-8
4552,1312,-3
393,1318,3
1425,1318,-2
3294,1319,14
4475,1320,-5
505,1323,8
2043,1324,-6
411,1326,-4
4254,1327,-2
355,1328,-2
4511,1331,90
705,1331,7
4364,1332,268
4316,1332,5
32,1333,34
4660,1335,13
525,1338,-2
4417,1339,14
615,1339,4
431,1339,4
1164,1339,-2
4135,1340,71
3832,1341,21
117,1341,-4
1947,1341,101
1073,1342,-3
1685,1343,-2
15,1344,0
2041,1345,65
4577,1346,-4
688,1346,-4
2967,1347,2
4497,1352,42
83,1352,-3
1783,1353,-3
1153,1353,3
5712,1356,-3
602,1356,1
4564,1358,43
4370,1402,2
2068,1404,5
349,1405,-6
981,1410,-5
3728,1412,-8
468,1412,334
257,1416,-13
4588,1420,0
4340,1421,67
3835,1422,25
1187,1422,11
1122,1428,29
2247,1429,29
2079,1429,29
5710,1430,0
1322,1430,-5
4859,1431,46
566,1431,1
1184,1431,-4
347,1437,0
4516,1438,75
1161,1438,9
1531,1442,12
1819,1442,7
1972,1442,-3
1445,1442,-3
8,1444,-11
3295,1448,-7
4172,1450,0
3793,1451,-4
141,1451,-6
1231,1451,11
1121,1451,139
119,1452,-5
377,1452,-7
1166,1452,3
1861,1454,4
3806,1456,-3
1925,1456,-4
1010,1456,34
1997,1456,-4
2179,1456,-4
1053,1457,-2
1687,1457,27
3653,1458,-2
337,1458,3
4669,1458,13
720,1458,-2
2347,1459,-1
4429,1459,-1
1467,1500,0
1552,1500,30
2132,1500,0
883,1503,33
984,1504,21
1769,1506,11
63,1507,8
4309,1507,-3
4105,1513,13
537,1513,-4
1483,1513,15
4633,1514,52
4572,1515,17
1629,1515,16
2081,1516,-4
2223,1518,-12
759,1519,14
4491,1519,69
1600,1519,3
1695,1521,6
1107,1521,1
3369,1524,-6
1939,1524,24
3799,1525,0
3823,1525,0
530,1525,-5
153,1526,8
1665,1526,-4
3843,1527,27
4579,1527,17
4403,1527,37
4090,1528,99
1039,1529,-1
4333,1529,14
1222,1529,0
85,1530,0
61,1530,33
1935,1531,1
4525,1531,1
4447,1532,22
289,1533,13
3792,1534,19
4146,1535,5
4,1536,-4
703,1540,-5
507,1541,-4
3338,1542,2
763,1542,7
1942,1542,-3
3321,1543,-2
317,1543,-1
379,1545,42
4617,1548,128
137,1549,16
917,1550,0
1283,1550,5
1773,1550,0
95,1551,3
4922,1552,-8
667,1552,2
1467,1554,-6
4181,1555,70
369,1556,-4
1508,1556,-4
1242,1556,-3
565,1557,-3
509,1557,-3
80,1557,28
620,1558,-2
3985,1558,-2
1215,1558,-2
5675,1600,59
3459,1600,0
479,1600,7
3331,1601,1
4576,1602,33
91,1602,-3
1473,1602,-3
4580,1603,46
4415,1603,-2
12,1604,9
1411,1604,4
847,1605,6
1635,1605,-2
4088,1606,-4
179,1607,337
4372,1609,76
1635,1609,19
157,1609,0
5709,1611,11
3392,1612,-3
985,1612,-3
4622,1613,-7
3372,1615,25
2305,1616,6
341,1617,7
315,1618,62
1178,1618,-2
3384,1619,14
2231,1619,4
1587,1624,14
4292,1625,101
1043,1626,-4
675,1627,-3
702,1627,-3
1051,1627,-3
1619,1628,13
27,1628,-2
920,1629,-1
985,1629,-1
864,1632,2
656,1632,-3
3843,1633,43
139,1633,-7
161,1634,19
773,1636,-4
4390,1642,98
3695,1642,7
1641,1643,18
1556,1644,19
1790,1646,-4
1085,1648,13
1078,1652,0
1176,1653,14
31,1655,-5
995,1655,0
413,1655,0
706,1657,-3
3347,1658,-2
3358,1658,-2
257,1701,1
143,1701,25
4540,1702,22
185,1703,13
627,1703,3
4645,1704,34
575,1705,5
1447,1706,-4
1905,1707,2
1259,1708,8
4502,1710,104
509,1712,12
342,1713,13
5132,1714,14
2521,1714,79
163,1715,-5
4323,1715,15
695,1716,6
181,1717,32
1351,1719,-1
4255,1719,-6
623,1720,-10
1779,1720,20
1499,1721,22
1185,1723,-6
513,1724,-1
543,1727,-2
784,1727,7
449,1727,-3
4299,1728,91
4133,1728,133
511,1728,-2
618,1728,-1
1139,1729,-1
1125,1729,9
512,1730,1
74,1732,-2
4661,1732,67
145,1734,9
1120,1735,-3
4317,1737,11
345,1737,17
1339,1738,-2
503,1739,-6
4382,1740,13
4413,1740,-5
1109,1740,15
785,1742,-3
9,1744,-1
2331,1744,-1
1585,1745,-1
3260,1746,85
535,1746,-4
4479,1748,28
1177,1748,32
4194,1749,55
1016,1749,-11
1307,1749,0
2827,1750,5
1186,1750,-5
1813,1751,181
15,1753,53
4702,1754,75
3272,1755,128
177,1755,10
1999,1757,37
989,1757,-3
4180,1759,75
1111,1800,0
1047,1800,0
3925,1801,66
35,1802,102
2019,1803,-7
1053,1803,4
4705,1804,85
4484,1805,-5
4626,1805,0
4308,1806,97
1209,1806,5
547,1807,22
1158,1808,8
4272,1810,67
1611,1810,0
179,1810,40
2529,1810,75
4844,1810,-5
217,1811,1
979,1813,48
7,1818,3
4373,1821,67
4674,1821,-9
3830,1825,-10
1643,1825,-5
597,1825,15
1973,1827,-2
924,1828,-2
1407,1828,-1
1075,1828,0
4151,1829,67
754,1829,0
926,1830,15
173,1831,16
1462,1831,2
3944,1832,-3
391,1833,48
857,1833,0
1292,1833,4
373,1833,33
359,1834,-1
329,1834,-1
269,1835,5
2450,1835,10
91,1839,-6
904,1840,-5
1649,1840,50
4649,1844,-11
389,1844,-1
3983,1845,120
4202,1848,107
3325,1848,8
119,1848,28
4321,1849,85
2019,1849,-1
29,1849,-1
3730,1851,11
645,1852,-8
1613,1852,-3
947,1853,-6
2187,1853,-7
5714,1854,-6
951,1854,-1
87,1856,-4
3414,1856,-4
155,1857,-2
699,1857,-3
1491,1858,3
130,1900,24
1456,1900,0
2159,1902,-3
1269,1902,4
2075,1903,-7
1629,1904,-6
3807,1905,-4
21,1905,0
353,1907,47
884,1907,52
1059,1908,-2
4092,1909,168
2391,1910,-5
171,1911,12
87,1914,2
1128,1915,27
3359,1917,7
927,1917,9
1715,1918,-7
541,1919,-1
4569,1920,10
4543,1921,12
4517,1921,36
1485,1922,-3
1967,1922,22
5742,1923,-7
791,1924,-11
1435,1924,-5
39,1926,-4
3401,1927,-3
6,1929,-1
2370,1929,-1
527,1933,103
3783,1933,-7
1433,1934,109
4153,1935,39
853,1937,37
762,1937,26
1787,1939,-1
4085,1940,31
4131,1940,40
3899,1940,5
1416,1940,8
1444,1941,12
4326,1943,80
3352,1944,-1
3361,1946,6
3798,1946,16
381,1948,8
1221,1950,10
711,1952,53
4033,1954,-6
359,1954,34
3420,1955,25
1147,1956,-4
415,1958,-2
2131,1959,-1
4333,2001,32
645,2002,17
695,2002,2
3664,2003,-12
1709,2003,8
1680,2004,9
4410,2005,180
1854,2006,21
4312,2007,17
540,2009,14
4662,2014,-6
1244,2019,3
1762,2023,8
354,2024,-6
165,2024,-5
115,2025,-5
4555,2025,10
1482,2026,1
3409,2027,27
47,2027,12
1447,2027,-3
4224,2028,24
1318,2028,-2
1069,2030,5
1615,2030,2
629,2031,-4
3364,2032,97
4423,2033,34
926,2034,-5
3357,2036,1
1595,2037,13
4695,2040,10
1071,2040,12
4462,2041,59
371,2041,-4
619,2041,1
147,2041,-4
4581,2043,164
5114,2044,39
4361,2045,75
677,2047,7
4573,2048,-7
3744,2049,-11
3274,2050,40
4532,2051,82
299,2053,31
227,2054,14
399,2054,-6
946,2054,-6
437,2058,4
2363,2100,0
4584,2100,0
4507,2100,0
834,2101,26
1422,2104,19
1241,2107,7
4371,2108,74
1108,2111,21
1627,2113,3
4088,2115,16
4125,2115,158
529,2115,0
4660,2115,-10
3320,2116,71
97,2116,-4
4119,2119,9
1575,2124,14
4404,2125,15
21,2128,-2
383,2128,-2
199,2130,0
488,2131,379
185,2134,-1
701,2137,2
104,2141,-4
35,2142,-3
515,2145,0
2139,2145,140
1299,2145,16
4170,2148,104
4091,2150,105
1109,2150,-5
11,2215,-5
942,2218,-7
4204,2225,175
713,2225,-4
608,2237,-8
30,2241,-4
4206,2254,65
4276,2256,65
1247,2259,119
112,2303,8
4485,2309,69
4449,2313,108
4257,2334,125
43,2337,102
128,2347,62
739,2351,-8
727,2354,-5
4352,NA,NA
4406,NA,NA
4434,NA,NA
4935,NA,NA
3849,NA,NA
133,NA,NA
753,NA,NA
623,NA,NA
707,32,33
104,50,185
727,235,156
1030,458,-2
1018,520,-5
1136,532,2
1141,535,-5
